Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
LENOVO,ThinkPad X1 Carbon Gen 9,1200.0,1920.0,14.0,,IPS,Intel Core i5,1145G7,256.0,16.0,Intel Iris Xe Graphics,,,1113600,4
LENOVO,IdeaPad 3 17ABA7,1080.0,1920.0,17.3,,IPS,AMD Ryzen 5,5625U,512.0,8.0,Intel Iris Xe Graphics,,,428900,4
LENOVO,IdeaPad 5 15ALC05,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5500U,512.0,8.0,AMD Radeon Graphics,,,455300,4
LENOVO,IdeaPad Flex 5 14ALC05,1080.0,1920.0,14.0,,IPS,AMD Ryzen 5,5500U,512.0,8.0,AMD Radeon RX Vega 7 Graphics,,,583200,4
LENOVO,IdeaPad Gaming 3 15ACH6,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,512.0,16.0,NVIDIA GeForce RTX 3060,6.0,,1341200,4
LENOVO,ThinkBook 13x,1600.0,2560.0,13.3,,IPS,Intel Core i5,1130G7,256.0,8.0,Intel Iris Xe Graphics,,,639800,4
LENOVO,Thinkbook 15 G2 ITL,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,512.0,8.0,Iris Xe Graphics,,,377800,4
LENOVO,ThinkPad P15v G3,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,6650H,512.0,16.0,NVIDIA Quadro T600,4.0,,1367600,4
LENOVO,ThinkPad P15v G3,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,6850H,512.0,16.0,NVIDIA Quadro T1200,4.0,,1636100,4
LENOVO,ThinkPad P14s G2,1080.0,1920.0,14.0,,IPS,AMD Ryzen 7,5850U,1024.0,32.0,AMD Radeon Graphics,,,1707800,4
LENOVO,ThinkPad P15v G3,1080.0,1920.0,15.6,,IPS,Intel Core i5,12500H,512.0,16.0,Intel Iris Xe Graphics,,,1269000,4
LENOVO,ThinkPad P14s G2,1080.0,1920.0,14.0,,IPS,AMD Ryzen 7,5850U,512.0,16.0,AMD Radeon Graphics,,,1236200,4
LENOVO,IdeaPad 3 14ADA05,1080.0,1920.0,14.0,,TN,AMD Ryzen 5,3500U,512.0,8.0,AMD Radeon Vega 8 Graphics,,,328500,4
LENOVO,ThinkPad X1 Carbon G10,1400.0,2240.0,14.0,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,1465200,4
LENOVO,ThinkPad E15 G4,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5625U,256.0,8.0,AMD Radeon Graphics,,,730400,4
LENOVO,IdeaPad 3 14ITL6,1080.0,1920.0,14.0,,,Intel Core i7,1165G7,512.0,8.0,Intel Iris Xe Graphics,,,358200,4
LENOVO,THINKPAD L13 YOGA G3 W10P,1200.0,1920.0,13.3,,IPS,AMD Ryzen 7,5875U,512.0,16.0,AMD Radeon Graphics,,,755900,4
LENOVO,THINKPAD L15 G3 W10P,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5675U,512.0,16.0,AMD Radeon Graphics,,,547100,4
LENOVO,,1080.0,1920.0,17.3,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,335300,4
LENOVO,,1080.0,1920.0,15.6,,TN,Intel Core i3,1005G1,256.0,4.0,Intel UHD Graphics,,,294300,4
LENOVO,IdeaPad 3 15ITL6,1080.0,1920.0,15.6,,IPS,Intel Pentium,7505,128.0,4.0,Intel UHD Graphics Xe G4 48EUs,,,256600,4
LENOVO,ThinkBook 14s Yoga G2 IAP,1080.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics G7 96EUs,,,836500,4
LENOVO,TP T15 G2,1080.0,1920.0,15.6,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,752800,4
LENOVO,IP Gaming 3 15IAH7,1080.0,1920.0,15.6,,IPS,Intel Core i5,12500H,512.0,8.0,NVIDIA GeForce RTX 3050,4.0,,532300,4
LENOVO,Legion 5 Pro 16IAH7H,1200.0,1920.0,16.0,,IPS,Intel Core i5,12500H,1024.0,16.0,NVIDIA GeForce RTX 3060,6.0,,885200,4
LENOVO,IP Gaming 3 16ARH7,1200.0,1920.0,16.0,,IPS,AMD Ryzen 5,6600HS,512.0,8.0,NVIDIA GeForce RTX 3050,4.0,,557400,4
