Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
ASUS,ExpertBook B1,1080.0,1920.0,15.6,,IPS,Intel Core i3,N305,256.0,8.0,Intel UHD Graphics,,,286200,4
ASUS,ROG Strix,,,18.0,,IPS,Intel Core i9,13980HX,1024.0,32.0,NVIDIA GeForce RTX 4090,16.0,,3111500,4
ASUS,,1080.0,1920.0,15.6,,TN,Intel Core i7,1065G7,512.0,16.0,NVIDIA GeForce MX330,2.0,,308500,4
ASUS,ROG Zephyrus Duo 16,1600.0,2560.0,16.0,,Mini-LED,AMD Ryzen 9,6900HX,2048.0,64.0,NVIDIA GeForce RTX 3080 Ti,16.0,,3351300,4
ACER,ASPIRE 3,1080.0,1920.0,15.6,,TN,Intel Core i5,1035G1,256.0,8.0,Intel UHD Graphics,,,267200,4
ACER,ASPIRE 3,1080.0,1920.0,15.6,,TN,Intel Core i5,1035G1,512.0,8.0,Intel UHD Graphics,,,789800,4
ACER,ASPIRE 3,1080.0,1920.0,14.0,,TN,AMD Ryzen 3,3250U,128.0,4.0,AMD Radeon,,,242200,4
ACER,CONCEPTD 7 EZEL,2160.0,3840.0,15.6,,IPS,Intel Xeon,10885M,1024.0,32.0,NVIDIA Quadro RTX 5000 16384MB,16.0,,4124700,4
ACER,Aspire 5,1080.0,1920.0,15.6,,TN,Intel Core i5,1035G1,512.0,12.0,UMA,,,368900,4
ACER,TRAVELMATE P2,1280.0,1920.0,15.6,,TN,Intel Core i3,10110U,256.0,4.0,Intel UHD Graphics,,,369900,4
ACER,ASPIRE 3,1080.0,1920.0,15.6,,,AMD Ryzen 3,3250U,128.0,4.0,AMD Radeon,,,239900,4
ACER,ASPIRE 1,1080.0,1920.0,15.6,,TN,Intel Celeron,N4500,128.0,4.0,Intel UHD Graphics,,,157200,4
ACER,Enterprise Spin 514,1080.0,1920.0,14.0,,,AMD Ryzen 5,3500C,128.0,8.0,NVIDIA GeForce RTX 3050 Ti Max-Q,4.0,,391500,4
ACER,Laptop TravelMate P2,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5850U,256.0,8.0,AMD Radeon Graphics,,,553600,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,,Intel Core i5,1135G7,512.0,8.0,Intel UHD Graphics,,,336800,4
ACER,Chromebook Spin 512,912.0,1366.0,,,LCD,Intel Celeron,N5100,32.0,4.0,Intel UHD Graphics,,,265000,4
ACER,Chromebook Spin 512,912.0,1366.0,,,LCD,Intel Pentium,N6000,64.0,8.0,Intel UHD Graphics,,,333300,4
ACER,Chromebook 712,912.0,1366.0,,,LCD,Intel Celeron,5205U,32.0,4.0,Intel UHD Graphics,,,124900,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,,AMD Ryzen 3,3250U,500.0,4.0,AMD Radeon,,,248400,4
ACER,ASPIRE 3,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,203100,4
ACER,Aspire 3,1080.0,1920.0,15.6,,,Intel Core i3,1115G4,128.0,8.0,Intel UHD Graphics,,,187600,4
ACER,Chromebook Spin 513 R841T,1080.0,1920.0,13.3,,IPS,Qualcomm Snapdragon,7C,64.0,4.0,Qualcomm Adreno 618 Graphics,,,265200,4
ACER,Chromebook Spin 511 R753T,768.0,1366.0,11.6,,,Intel Celeron,N4500,32.0,4.0,Intel UHD Graphics,,,306300,4
ACER,Chromebook Spin 511 R753T,768.0,1366.0,11.6,,,Intel Celeron,N4500,32.0,4.0,Intel UHD Graphics,,,318400,4
ACER,TravelMate P2,1080.0,1920.0,14.0,,,AMD Ryzen 5,5650U,256.0,8.0,AMD Radeon Graphics,,,409000,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,,AMD Ryzen 3,3250U,128.0,,AMD Radeon R3,,,250500,4
ACER,TRAVELMATE P2,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,425600,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,TN,AMD Athlon,3050U,128.0,4.0,AMD Radeon,,,234200,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,TN,AMD Athlon,3050U,256.0,4.0,AMD Radeon,,,238900,4
ACER,Chromebook 311,768.0,1366.0,11.6,,LCD,Mediatek,M8183C,32.0,4.0,Mali-G72 MP3,,,209500,4
ACER,EXTENSA 15,1080.0,1920.0,15.6,,TN,AMD Ryzen 3,3250U,256.0,8.0,AMD Radeon,,,235700,4
